month_day,title,body,reflection,language,status,source
01-11,FÉ,"""À medida que desenvolvemos a fé nas nossas vidas, vemos que o nosso Poder Superior dá-nos a força e a direcção de que precisamos."" Texto Básico, p. 105

Alguns de nós entram em recuperação muito assustados e inseguros. Sentimo-nos fracos e sozinhos. Não estamos certos da nossa direcção e não sabemos onde ir procurar respostas. É-nos dito que se encontrarmos alguma fé num Poder Superior a nós mesmos, encontraremos segurança e orientação. Nós queremos essa sensação de segurança e força. Mas a fé não vem de um dia para o outro. Exige tempo e esforço para crescer. A semente é plantada quando pedimos ajuda ao nosso Poder Superior e reconhecemos depois a fonte dessa ajuda quando ela chega. Alimentamos a pequenina semente da fé com a luz das nossas orações diárias. O crescimento da nossa fé, é a recompensa por vivermos a vida tal como ela é. Um dia vemos que a nossa fé se tornou numa enorme árvore; ela não impede as tempestades da vida, mas sabemos que estamos a salvo debaixo dela.","Eu sei que a fé no meu Poder Superior não vai acalmar as tempestades da vida, mas vai acalmar o meu coração. Vou deixar a minha fé abraçar-me nos tempos difíceis.",pt-CV,published,SPH Meditacões.xlsx
01-12,DESPERTARES ESPIRITUAIS,"""Tendo experimentado um despertar espiritual graças a estes Passos..."" Décimo-Segundo Passo

""Como é que eu vou saber que tive um despertar espiritual?"" Para muitos de nós, um despertar espiritual vem gradualmente. Talvez a nossa primeira consciência espiritual seja tão simples como uma nova apreciação da vida. Talvez descubramos de repente, um dia, o som dos pássaros a cantar de manhã cedo. A beleza simples de uma flor pode lembrar-nos de que há um Poder superior a nós mesmos a trabalhar à nossa volta. Muitas vezes, o nosso despertar espiritual é algo que se fortalece com o tempo. Podemos esforçar-nos por ter uma maior consciência espiritual simplesmente vivendo as nossas vidas. Podemos persistir num esforço para melhorar o nosso contacto consciente através da prática diária da oração e da meditação. Podemos escutar a voz interior para obtermos a orientação de que necessitamos. Podemos perguntar a outros adictos sobre as suas experiências com a espiritualidade. Podemos apreciar, sem pressas, o mundo à nossa volta.",Vou reflectir sobre os despertares espirituais que já experimentei. Vou esforçar-me por ter uma consciência de Deus. Vou guardar alguns momentos do dia para apreciar o trabalho do meu Poder Superior.,pt-CV,published,SPH Meditacões.xlsx
01-13,RENDER PARA VENCER,"A ajuda só começa quando somos capazes de admitir a derrota total. "" Texto Básico, p. 26

Derrota total - mas que conceito! Isso deve significar rendição. Rendição - desistir completamente. Desistir sem reservas. Baixar os braços e desistir de lutar. Talvez seja pormos a mão no ar na primeira reunião e admitirmos que somos adictos. Como é que sabemos que fizemos o Primeiro Passo, que irá permitir-nos viver sem drogas? Sabemos porque, uma vez dado esse passo gigantesco, nunca mais temos de voltar a usar outra vez - só por hoje. É isso; não é fácil, mas é muito simples. Trabalhamos o Primeiro Passo. Aceitamos que, sim, somos adictos. ""Uma é demais e mil nunca são suficientes"". Provámos isso a nós mesmos, vezes suficientes. Admitimos que não conseguimos lidar com as drogas de nenhuma forma. Admitimos e, se for preciso, dizemo-lo bem alto. Admitimos o Primeiro Passo no princípio do dia. Por um dia. Essa admissão liberta-nos, só por hoje, da necessidade de viver a nossa adicção de novo. Rendemo-nos a esta doença. Entregamos. Desistimos. Mas ao desistirmos, vencemos. E é esse o paradoxo do Primeiro Passo: rendemo-nos para vencer, e através da rendição conquistamos um poder muito maior do que alguma vez imaginámos possível.",Admito que sou impotente perante a minha adicção. Vou render-me para vencer.,pt-CV,published,SPH Meditacões.xlsx
01-14,UM DEUS AMANTÍSSIMO,"“A nossa concepção de um Poder Superior só a nós diz respeito... A única orientação sugerida é a de que este Poder seja amantíssimo, carinhoso e superior a nós mesmos. "" Texto Básico, p. 28

Foi-nos dito que podemos acreditar em qualquer tipo de Poder Superior desde que seja amantíssimo e, claro está, maior do que nós mesmos. Alguns de nós, contudo, tiveram problemas com estes requisitos. Ou não acreditamos em nada para além de nós mesmos, ou acreditamos que qualquer coisa a que possa chamar-se ""Deus"" só poderá ser frio e insensato, enviando-nos má-sorte por capricho. Acreditar num Poder amantíssimo é um grande salto para alguns de nós, por muitas razões. A ideia de entregar a nossa vontade e as nossas vidas aos cuidados de qualquer coisa que julguemos capazes de nos magoar irá certamente encher-nos de relutância. Se chegamos ao programa a acreditar que Deus é julgador e que não perdoa, temos de ultrapassar essa crença antes de nos sentirmos verdadeiramente confortáveis com o Terceiro Passo. As nossas experiências positivas em recuperação podem ajudar-nos a vir a acreditar num Deus amantíssimo da nossa concepção. Fomos aliviados de uma doença que nos atingiu durante muito tempo. Encontrámos a orientação e o apoio de que precisávamos para desenvolver uma nova forma de vida. Começamos a experimentar uma plenitude do espírito onde antes só havia vazio. Estes aspectos da nossa recuperação têm a sua fonte num Deus amantíssimo, não num Deus duro e odioso. E quanto mais experimentarmos recuperação, mais confiaremos nesse Poder Superior amantíssimo.","Vou abrir a minha mente e o meu coração para acreditar que Deus é amantíssimo, e vou confiar em que o meu Poder Superior amantíssimo faz por mim aquilo que eu não consigo fazer por mim mesmo.",pt-CV,published,SPH Meditacões.xlsx
01-15,MEDO,"""Começamos a sentir-nos confortáveis com o nosso Poder Superior como fonte de força. À medida que aprendemos a confiar neste Poder; começamos a ultrapassar o nosso medo de viver. ""

Texto Básico, p. 29

Dado que somos impotentes, viver em vontade própria constitui uma experiência assustadora e desconcertante. Em recuperação, entregámos em segurança a nossa vontade e as nossas vidas aos cuidados do Deus da nossa concepção. Quando erramos no nosso programa, quando perdemos o contacto consciente com o nosso Poder Superior, começamos a assumir de novo o controlo das nossas vidas, recusando os cuidados do Deus da nossa concepção. Se não tomarmos uma decisão diária de entregar as nossas vidas aos cuidados do nosso Poder Superior, podemos sentir-nos esmagados pelo nosso medo da vida. Ao trabalharmos os Doze Passos, descobrimos que a fé num Poder superior a nós mesmos ajuda a aliviar-nos dos nossos medos. À medida que nos aproximamos de um Deus amantíssimo, tornamo-nos mais conscientes do nosso Poder Superior. E quanto mais conscientes estivermos dos cuidados de Deus para nós, menores serão os nossos medos. Quando nos sentimos assustados perguntamos a nós mesmos, ""Este medo será um sinal o de falta de fé na minha vida? Terei tomado de novo o controlo, para descobrir apenas que a minha vida continua desgovernada?"" Se respondermos afirmativamente a estas perguntas, poderemos vencer o nosso medo ao entregarmos a nossa vontade e as nossas vidas de volta aos cuidados do Deus da nossa concepção.",Vou confiar nos cuidados do meu Poder Superior para aliviar o meu medo da vida.,pt-CV,published,SPH Meditacões.xlsx
01-16,TELEFONA!,"""Receávamos que, se alguma vez revelássemos como de facto éramos, seríamos certamente rejeitados... mas os nossos amigos em NA compreendem-nos. "" Texto Básico, p. 37

Nós precisamos dos membros da irmandade de NA - da sua experiência, da sua amizade, das suas gargalhadas, da sua atenção, e de muito, muito mais. No entanto, muitos de nós hesitam em telefonar ao padrinho ou madrinha, ou em visitar os amigos de NA. Não queremos impor a nossa presença. Pensamos em telefonar a alguém, mas não nos sentimos merecedores do seu tempo. Receamos que se eles ficassem a conhecer-nos - a conhecer-nos realmente - iriam certamente rejeitar-nos. Esquecemo-nos de que os nossos amigos de NA são iguais a nós. Não há nada que tenhamos feito, nenhum sítio onde tenhamos estado, nenhum sentimento que tenhamos sentido, que não seja fácil a outros adictos em recuperação identificarem-se. Quanto mais permitimos aos outros que nos conheçam, mais os ouvimos dizer, ""Estás no sítio certo. Estás entre amigos. O teu lugar é aqui. Bem-vindo!"" Também nos esquecemos de que, tal como precisamos dos outros, também eles precisam de nós. Não somos os únicos a querer sentir que pertencemos, a querer experimentar o calor da amizade, a querer alguém com quem partilhar. Se nos isolarmos dos nossos amigos da irmandade, vamos privá-los de algo de que eles precisam, algo que só nós podemos dar: o nosso tempo, a nossa companhia, as nossas verdadeiras pessoas. Em Narcóticos Anónimos, os adictos em recuperação preocupam-se uns com os outros. O que nos espera do outro lado do telefone não é a rejeição, mas sim amor, calor e identificação da Irmandade de NA. Faz esse telefonema!","Em NA, estou entre amigos. Vou aproximar-me de outros na irmandade, dando e recebendo.",pt-CV,published,SPH Meditacões.xlsx
01-17,CAPACIDADE DE PERDOAR,"“À medida que compreendemos a nossa necessidade de sermos perdoados, tendemos a perdoar mais. Pelo menos sabemos que já não estamos mais a magoar intencionalmente os outros.” Texto Básico, p. 45

Na nossa adicção tratámos muitas vezes mal os outros, por vezes procurando deliberadamente formas de tornar as suas vidas infelizes. Em recuperação talvez continuemos ainda a ter a tendência para julgar os actos dos outros, por acharmos que sabemos como essa pessoa deveria comportar-se. Mas, à medida que progredimos em recuperação, costumamos descobrir que, para nos aceitarmos a nós mesmos, temos de aceitar aqueles à nossa volta. Poderá ser difícil assistir às manifestações de insanidade de alguém. Mas se nos desligarmos do problema, podemos começar a viver na solução. E se nos sentirmos afectados pelas acções de outros, podemos aplicar o princípio do perdão.",Vou esforçar-me por perdoar em vez de ser perdoado. Vou tentar agir de forma a sentir-me merecedor de amor próprio.,pt-CV,published,SPH Meditacões.xlsx
01-18,O INVENTÁRIO SIMPLES,"""Continuarmos a fazer um inventário pessoal significa formarmos um hábito de olhar regularmente para nós mesmos, as nossas acções, atitudes e relações. "" Texto Básico, p. 48

O inventário diário é um instrumento que podemos usar para simplificar as nossas vidas. A parte mais complicada de fazer um inventário regular é decidir como começar. Deveremos escrevê-lo? O que é que deveremos examinar? Com que detalhe? E como é que sabemos quando acabámos? Rapidamente transformamos um simples exercício num projecto enorme. Aqui está uma forma de se fazer um inventário diário. Pomos de lado uns momentos no fim de cada dia para nos sentarmos calmamente e percebermos como nos sentimos. Temos algum nó no estômago? Grande ou pequeno? Sentimo-nos desconfortáveis com o dia que está a terminar? O que é que se passou? Qual foi o nosso papel no assunto? Devemos alguma reparação? Se pudéssemos voltar a fazer tudo outra vez, o que é que faríamos diferente ? Também queremos focar os aspectos positivos das nossas vidas no nosso inventário diário. O que é que nos deu hoje satisfação? Fomos produtivos? Responsáveis? Simpáticos? Demos amor? Demos, desinteressadamente, de nós mesmos? Experimentámos plenamente o amor e a beleza que o dia nos ofereceu? O que é que fizemos hoje que podemos querer fazer outra vez? O nosso inventário diário não tem que ser complicado para ser eficaz. É um instrumento muito simples que podemos usar para nos mantermos em contacto diário com nós próprios.","Quero manter-me em contacto com a maneira como me sinto a viver esta vida que me foi dada. No final deste dia, vou fazer um breve e simples inventário.",pt-CV,published,SPH Meditacões.xlsx
01-19,A ESCOLA DA RECUPERAÇÃO,"""Este é um programa de aprendizagem. "" Texto Básico, p. 19

Aprender em recuperação é uma tarefa difícil. As coisas que mais precisamos de saber são, muitas vezes, as mais difíceis de aprender. Estudamos recuperação para nos prepararmos para as experiências que a vida nos dá. À medida que ouvimos os outros partilharem em reuniões, tomamos mentalmente notas que nos servem mais tarde de referência. Para estarmos preparados, estudamos as nossas notas e a literatura entre cada ""lição"". Tal como um aluno tem oportunidade de aplicar o seu conhecimento durante os testes, também nós temos oportunidade de aplicar a nossa recuperação durante períodos de crise. Como sempre, temos uma escolha na maneira como vamos encarar os desafios da vida. Podemos temê-los e evitá-los, como se fossem ameaças à nossa serenidade, ou podemos aceitá-los com gratidão, como oportunidades de crescimento. Através da confirmação dos princípios que aprendemos em recuperação, os desafios da vida dão-nos forças redobradas. Sem esses desafios, contudo, poderíamos esquecer aquilo que aprendemos e começar a estagnar. Estas são as oportunidades que nos estimulam para novos despertares espirituais. Vamos descobrir que existe, muitas vezes, um período de descanso após cada crise, dando-nos tempo para nos acostumarmos às nossas novas capacidades. Uma vez que tenhamos reflectido sobre a nossa experiência, somos chamados para partilhar o nosso conhecimento com alguém que esteja a estudar aquilo que acabámos de aprender. Na escola da recuperação, todos nós somos tanto professores como alunos.","Vou ser um aluno de recuperação. Vou dar as boas-vindas aos desafios, confiando naquilo que aprendi e ansiar por partilhar isso com os outros.",pt-CV,published,SPH Meditacões.xlsx
01-20,"UMA PROMESSA, MUITAS DÁDIVAS","""Narcóticos Anónimos apenas promete uma coisa, e essa é a Libertação da adicção activa..."" Texto Básico, p. 118

Imaginem como seria se, quando tivéssemos chegado às portas de Narcóticos Anónimos, desesperados, querendo parar de usar drogas, encontrássemos o seguinte anúncio: ""Se trabalhares os passos e não usares drogas, irás casar, ter casa e começar a andar bem vestido. Vais tornar-te um membro responsável e produtivo da sociedade e serás boa companhia para reis e presidentes. Serás rico e terás uma carreira dinâmica."" A maioria de nós, recebidos com uma promoção tão desajeitada, teria fugido na hora. Em vez de pressões e de previsões assustadoras e sem sentido, somos recebidos com uma promessa de esperança: a libertação da adicção activa. Sentimos um alívio abençoado quando ouvimos que não temos que voltar a usar drogas outra vez. Não seremos forçados a ser seja o que for! E claro que, depois de algum tempo em recuperação, começam a acontecer coisas boas nas nossas vidas. Recebemos dádivas - dádivas espirituais, dádivas materiais, dádivas com que sempre sonhámos mas nunca tivemos esperança de conseguir. Elas são, contudo, dádivas verdadeiras - não nos foram prometidas só porque nos tornámos membros de NA. Tudo o que nos é prometido é a libertação da adicção - e isso é mais do que suficiente!",Foi-me prometido a libertação da adicção activa. As dádivas que recebo são os benefícios de recuperação.,pt-CV,published,SPH Meditacões.xlsx
